TID,Mental Space,Task tower,Atomic task,participantID,Persona,Alt Task Tower,Quote,Quote 2,Quote 3,Quote 4
1,Alert Development,Adjust alerts,Edit alerts based on new cluster behavior,4,clusterLevel,," if you're going to be supporting a cluster, in production, you probably want to go in and tweak things, as you get to know things. And again, things will probably change over time, as you get more and more familiar, or as the cluster is growing or shrinking, or whatever, but happened to it. ","when you have a new release, or you know, a new production deployment of an application, you want to make sure you have a baseline for your metrics, this is what it should look like. And now we deployed a new version, did anything change? While did anything change to the worse? I",,
2,Alert Development,Adjust alerts,Reduce alerting noise,1,meta,,"make sure that we have low noise and high signal, ",,,
4,Alert Development,Create alerts,Write alert rules,4,clusterLevel,,you would definitely have to build out a lot of the the monitoring the alerting around your environment. ,hen I need to dig into something that that is already an issue. And I prefer to instead trying to set up alerting ,,
6,Alert Development,Create alerts,Write integration scripts,1,meta,,"It has some nice integrations with other ecosystem projects, like it has native integration with Kubernetes, which is super helpful. If you have seen any other monitoring system, they do not do that. So you need to write your own scripts.",,,
7,Alert Development,Create alerts,Negotiate with developer on quality of alert,1,meta,,"probably need to get in the same room as a developer and have this negotiation on when these alerts should fire and what is a good alert, what is a bad alert, ",,,
8,Alert Development,Create alerts,Categorize severity of an alert,2,manager,,"I think it's okay, is we suppress warning type alerts. So we don't like wake someone up. If it's a warning level, only critical level alerts, will, you know, ring your phone and all that. ",,,
11,Alert Development,Create alerts,Decide threshold of alerts,2,manager,,what the threshold we alert at?,,,
12,Alert Development,Scope alerts,Aggregate metrics,1,meta,, how to aggregate all the metrics from other clusters into a single plane so that we can alert that is the exact thing we are working on right now.,"figuring out how to do alerting across clusters,",,
13,Alert Development,Scope alerts,Filter alerts at different platform level,2,manager,,"No, we don't route them anywhere. Because they're like, let's say a customer's workload and application is like, you know, it was a work in progress","it's not our problem. So we're running. We're monitoring the platform, not the application on top. And so we we deliberately throw all those away",,
15,Alert Management,Alert platforms,Deploy alert manager,1,meta,,"What it looks like for me is writing alert rules and setting up alert manager deployments, ",,,
16,Alert Management,Alert platforms,Move monitoring stack to a different monitoring tool,1,meta,,The last big project I work on on the dev side was moving everything from a zabbix space monitoring stack to a Prometheus-based monitoring stack.,,,
